DATE,LNS11300001_NBD20200101,LNS11300002_NBD20200101
2019-11-01,100.14451,99.48187
2019-12-01,100.00000,99.82729
2020-01-01,100.00000,100.00000
2020-02-01,99.71098,100.17271
2020-03-01,98.84393,98.79102
2020-04-01,95.37572,94.30052
2020-05-01,96.38728,95.33679
2020-06-01,97.39884,96.71848
2020-07-01,97.25434,96.89119
2020-08-01,97.97688,96.71848
2020-09-01,97.68786,96.20035
2020-10-01,97.97688,96.54577
2020-11-01,97.54335,96.54577
2020-12-01,97.54335,96.71848
2021-01-01,97.25434,96.20035
2021-02-01,97.10983,96.54577
2021-03-01,96.96532,97.06390
2021-04-01,97.68786,96.89119
2021-05-01,97.54335,96.54577
2021-06-01,97.83237,96.89119
2021-07-01,97.97688,96.89119
2021-08-01,97.97688,96.89119
2021-09-01,97.97688,96.71848
2021-10-01,97.97688,96.89119
2021-11-01,98.12139,97.23661
2021-12-01,97.97688,97.58204
2022-01-01,97.97688,98.10017
2022-02-01,98.26590,97.92746
2022-03-01,98.26590,98.27288
2022-04-01,98.12139,97.92746
2022-05-01,98.26590,98.27288
2022-06-01,98.12139,98.10017
2022-07-01,97.83237,98.10017
2022-08-01,98.12139,98.61831
2022-09-01,98.41040,98.10017
2022-10-01,98.55491,97.75475
2022-11-01,98.26590,97.58204
2022-12-01,98.41040,98.10017
2023-01-01,98.12139,98.61831
2023-02-01,98.26590,98.79102
2023-03-01,98.69942,98.79102
2023-04-01,98.26590,98.96373
2023-05-01,98.41040,98.96373
2023-06-01,98.41040,98.96373
2023-07-01,98.26590,99.13644
2023-08-01,98.55491,99.48187
2023-09-01,98.69942,99.30915
2023-10-01,98.26590,99.48187
2023-11-01,98.84393,99.13644
2023-12-01,98.41040,98.61831
2024-01-01,98.12139,99.30915
2024-02-01,97.83237,99.48187
2024-03-01,98.26590,99.48187
2024-04-01,98.12139,99.65458
2024-05-01,97.97688,99.48187
2024-06-01,98.41040,98.96373
2024-07-01,98.55491,99.30915
2024-08-01,98.12139,99.82729
2024-09-01,98.41040,99.48187
